[2022-10-30 00:43:22,754] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.3 (Java/13.0.2)
[2022-10-30 00:43:22,754] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> Accept-Encoding: gzip,deflate
[2022-10-30 00:43:22,754] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "POST /session/ad4836afe986d930b02f6451ba06e0ba/url HTTP/1.1[\r][\n]"
[2022-10-30 00:43:22,754] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
[2022-10-30 00:43:22,754] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Content-Length: 116[\r][\n]"
[2022-10-30 00:43:22,754] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Host: localhost:40695[\r][\n]"
[2022-10-30 00:43:22,755] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
[2022-10-30 00:43:22,755] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.3 (Java/13.0.2)[\r][\n]"
[2022-10-30 00:43:22,755] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[2022-10-30 00:43:22,755] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "[\r][\n]"
[2022-10-30 00:43:22,755] org.apache.http.impl.conn.Wire wire 87 - http-outgoing-0 >> "{"url":"https://empoweratease.adityabirlacapital.com/BSLI/apps/services/www/eapp/desktopbrowser/default/index.html"}"
[2022-10-30 00:43:26,092] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[2022-10-30 00:43:26,092] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "Content-Length:14[\r][\n]"
[2022-10-30 00:43:26,092] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
[2022-10-30 00:43:26,093] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "cache-control:no-cache[\r][\n]"
[2022-10-30 00:43:26,093] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "[\r][\n]"
[2022-10-30 00:43:26,093] org.apache.http.impl.conn.Wire wire 87 - http-outgoing-0 << "{"value":null}"
[2022-10-30 00:43:26,094] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 122 - http-outgoing-0 << HTTP/1.1 200 OK
[2022-10-30 00:43:26,095] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 125 - http-outgoing-0 << Content-Length:14
[2022-10-30 00:43:26,095] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 125 - http-outgoing-0 << Content-Type:application/json; charset=utf-8
[2022-10-30 00:43:26,095] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 125 - http-outgoing-0 << cache-control:no-cache
[2022-10-30 00:43:26,095] org.apache.http.impl.execchain.MainClientExec execute 285 - Connection can be kept alive indefinitely
[2022-10-30 00:43:26,096] org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection 320 - Connection [id: 0][route: {}->http://localhost:40695] can be kept alive indefinitely
[2022-10-30 00:43:26,096] org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection 326 - Connection released: [id: 0][route: {}->http://localhost:40695][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
[2022-10-30 00:44:05,396] com.ibm.Eapp.auto.Controller reDirectProcess 42 - com.ibm.Eapp.auto.Controller...start
[2022-10-30 00:44:05,396] com.ibm.Eapp.auto.Controller reDirectProcess 43 - com.ibm.Eapp.auto.Controller invoked com.ibm.Eapp.mod.EappCSEMod
[2022-10-30 00:44:05,397] com.ibm.Eapp.auto.Controller reDirectProcess 44 - com.ibm.Eapp.auto.Controller invoked 001
[2022-10-30 00:44:54,780] com.ibm.Eapp.run.ipaRunner main 16 - ipaRunner.main() Start::
